algo,total_runtime_no_eval,system_training,classifier_refine,feat_extract,linear_actual,nonlinear_actual,compensation_excl_feat,ade_overhead_linear,slow_vs_seqft,slow_vs_seqkd
b2_sldc,2337.136515378952,1484.5479128360748,173.32657432556152,231.8689591884613,0.0,437.6731677055359,447.39306902885437,0.0,0.6103250969415841,0.30893373066680496
seqft,1451.3445265293121,1155.5620243549347,60.85689568519592,225.43157243728638,0.0,0.0,9.494034051895142,0.0,0.0,-0.1871618140009107
seqkd,1785.5269985198975,1483.9245736598969,60.493634939193726,231.43817496299744,0.0,0.0,9.670614957809448,0.0,0.2302571621568974,0.0
