algo,total_runtime_no_eval,system_training,classifier_refine,feat_extract,linear_actual,nonlinear_actual,compensation_excl_feat,ade_overhead_linear,slow_vs_seqft,slow_vs_seqkd
a1_sldc,1713.683342218399,1196.7914884090424,168.96585869789124,230.352392911911,108.22586989402771,0.0,117.57360219955444,0.09880781173706055,0.1807557136804956,-0.04023666758388578
seqft,1451.3445265293121,1155.5620243549347,60.85689568519592,225.43157243728638,0.0,0.0,9.494034051895142,0.0,0.0,-0.1871618140009107
seqkd,1785.5269985198975,1483.9245736598969,60.493634939193726,231.43817496299744,0.0,0.0,9.670614957809448,0.0,0.2302571621568974,0.0
