algo,total_runtime_no_eval,system_training,classifier_refine,feat_extract,linear_actual,nonlinear_actual,compensation_excl_feat,ade_overhead_linear,slow_vs_seqft,slow_vs_seqkd
b1_sldc,2030.6833436489105,1518.194435119629,167.6637954711914,229.61020517349243,105.81374073028564,0.0,115.21490788459778,0.09041881561279297,0.3991738739698192,0.13730195361494624
seqft,1451.3445265293121,1155.5620243549347,60.85689568519592,225.43157243728638,0.0,0.0,9.494034051895142,0.0,0.0,-0.1871618140009107
seqkd,1785.5269985198975,1483.9245736598969,60.493634939193726,231.43817496299744,0.0,0.0,9.670614957809448,0.0,0.2302571621568974,0.0
