algo,total_runtime_no_eval,system_training_pct,classifier_refine_pct,feat_extract_pct,linear_actual_pct,nonlinear_actual_pct,compensation_excl_feat_pct,slow_vs_seqft,slow_vs_seqkd
b1_sldc,2030.6833436489105,74.76273638959402,8.256520938903176,11.307041341113706,5.210745489257335,0.0,5.673701330389084,0.3991738739698192,0.13730195361494624
seqft,1451.3445265293121,79.62010420215661,4.193139159778051,15.532602239963966,0.0,0.0,0.6541543981013798,0.0,-0.1871618140009107
seqkd,1785.5269985198975,83.10849261254451,3.387998892726886,12.961897252455259,0.0,0.0,0.5416112422733372,0.2302571621568974,0.0
