task,known_classes,total_classes,system_training,classifier_refine,compensation_total,comp_feature_extract,linear_wo_aux,linear_with_aux,ade_overhead_linear,nonlinear_weak_wo_aux,nonlinear_weak_with_aux,nonlinear_mlp_wo_aux,nonlinear_mlp_with_aux,nonlinear_beta_total,linear_alpha_total,total_runtime_no_eval
0,0,10,110.30977177619934,4.507862329483032,25.87056803703308,22.59105157852173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.68820214271545
1,10,20,110.86578154563904,14.109193325042725,26.307971715927124,22.992324829101562,1.3710222244262695,1.2519207000732422,0.0,0.0,0.0,0.0,0.0,0.0,2.6229429244995117,151.2829465866089
2,20,30,122.74886679649353,15.29023790359497,29.21613836288452,23.618643522262573,2.4710562229156494,2.4741501808166504,0.0030939579010009766,0.0,0.0,0.0,0.0,0.0,4.9452064037323,167.25524306297302
3,30,40,122.73457527160645,16.635361433029175,30.921399354934692,22.903940439224243,3.6752421855926514,3.6712093353271484,0.0,0.0,0.0,0.0,0.0,0.0,7.3464515209198,170.2913360595703
4,40,50,116.58417987823486,17.27113366127014,33.5284583568573,23.067305326461792,4.953974485397339,4.8286848068237305,0.0,0.0,0.0,0.0,0.0,0.0,9.78265929222107,167.3837718963623
5,50,60,122.02966046333313,18.494786500930786,35.78276205062866,23.00118136405945,6.02611517906189,6.064472675323486,0.03835749626159668,0.0,0.0,0.0,0.0,0.0,12.090587854385376,176.30720901489258
6,60,70,124.81965756416321,19.302855014801025,38.25249934196472,23.12623119354248,7.231846809387207,7.222909450531006,0.0,0.0,0.0,0.0,0.0,0.0,14.454756259918213,182.37501192092896
7,70,80,119.27836060523987,19.94417428970337,40.58242702484131,22.99065351486206,8.464669942855835,8.436813116073608,0.0,0.0,0.0,0.0,0.0,0.0,16.901483058929443,179.80496191978455
8,80,90,121.87303376197815,20.316354990005493,42.582443952560425,22.893190145492554,9.475958824157715,9.533315181732178,0.05735635757446289,0.0,0.0,0.0,0.0,0.0,19.009274005889893,184.77183270454407
9,90,100,125.54760074615479,23.093899250030518,44.88132691383362,23.16787099838257,10.536376953125,10.536131620407104,0.0,0.0,0.0,0.0,0.0,0.0,21.072508573532104,193.52282691001892
