task,known_classes,total_classes,system_training,classifier_refine,compensation_total,comp_feature_extract,linear_wo_aux,linear_with_aux,ade_overhead_linear,nonlinear_weak_wo_aux,nonlinear_weak_with_aux,nonlinear_mlp_wo_aux,nonlinear_mlp_with_aux,nonlinear_beta_total,linear_alpha_total,total_runtime_no_eval
0,0,10,110.1302969455719,4.515186309814453,25.76667308807373,22.461438417434692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.41215634346008
1,10,20,148.24693059921265,13.168378353118896,55.72199368476868,22.43637490272522,0.0,0.0,0.0,16.482255220413208,16.109641075134277,0.0,0.0,32.591896295547485,0.0,217.13730263710022
2,20,30,146.3586142063141,14.581749677658081,59.54695415496826,22.338275909423828,0.0,0.0,0.0,18.53052020072937,17.981050491333008,0.0,0.0,36.51157069206238,0.0,220.48731803894043
3,30,40,156.4272141456604,17.205238580703735,67.20023393630981,23.778153657913208,0.0,0.0,0.0,21.11335277557373,21.60088276863098,0.0,0.0,42.71423554420471,0.0,240.83268666267395
4,40,50,152.26852917671204,17.196425676345825,67.88479828834534,22.94903016090393,0.0,0.0,0.0,22.043779611587524,22.15485429763794,0.0,0.0,44.198633909225464,0.0,237.3497531414032
5,50,60,157.2853970527649,19.349857091903687,73.69730710983276,23.496455669403076,0.0,0.0,0.0,24.442728757858276,25.047390699386597,0.0,0.0,49.49011945724487,0.0,250.33256125450134
6,60,70,154.89503479003906,20.741624355316162,77.25882029533386,23.73655939102173,0.0,0.0,0.0,26.241753816604614,26.566209077835083,0.0,0.0,52.8079628944397,0.0,252.8954794406891
7,70,80,155.34414100646973,21.156704664230347,80.53869986534119,23.1774959564209,0.0,0.0,0.0,28.366140604019165,28.27722716331482,0.0,0.0,56.643367767333984,0.0,257.03954553604126
8,80,90,157.82679796218872,22.50526762008667,85.79909324645996,24.133076906204224,0.0,0.0,0.0,30.463891983032227,30.478126525878906,0.0,0.0,60.94201850891113,0.0,266.13115882873535
9,90,100,145.76495695114136,22.906141996383667,85.84745454788208,23.362098217010498,0.0,0.0,0.0,30.416091918945312,31.35727071762085,0.0,0.0,61.77336263656616,0.0,254.5185534954071
