algo,total_runtime_no_eval,system_training_pct,classifier_refine_pct,feat_extract_pct,linear_actual_pct,nonlinear_actual_pct,compensation_excl_feat_pct,slow_vs_seqft,slow_vs_seqkd
a2_sldc,2003.3674547672272,57.921132225587336,8.36046274253425,11.795284507277906,0.0,21.438409618972155,21.923120524600506,0.3803527819531596,0.12200345132160262
seqft,1451.3445265293121,79.62010420215661,4.193139159778051,15.532602239963966,0.0,0.0,0.6541543981013798,0.0,-0.1871618140009107
seqkd,1785.5269985198975,83.10849261254451,3.387998892726886,12.961897252455259,0.0,0.0,0.5416112422733372,0.2302571621568974,0.0
